                                  url1      url2
francethomas                  0.000000  0.025956
francisco                     0.000000  0.025956
full                          0.000000  0.025956
functions                     0.000000  0.025956
future                        0.000000  0.025956
gabriel                       0.020939  0.000000
generated                     0.000000  0.025956
generation                    0.000000  0.025956
german                        0.000000  0.025956
germanymarta                  0.000000  0.025956
gist                          0.020939  0.000000
gmt                           0.000000  0.077868
gonzalez                      0.000000  0.025956
google                        0.000000  0.051912
gothenburg                    0.000000  0.025956
gp                            0.000000  0.025956
greeceandré                   0.000000  0.025956
greecegoran                   0.000000  0.025956
grouin                        0.000000  0.025956
ground                        0.083754  0.000000
groupresearchers              0.020939  0.000000
growing                       0.000000  0.025956
growth                        0.020939  0.000000
guidelines                    0.000000  0.051912
guidelineseasychair           0.000000  0.025956
gwenaëlle                     0.020939  0.000000
hammad                        0.020939  0.000000
hamon                         0.000000  0.025956
han                           0.041877  0.000000
harvard                       0.000000  0.025956
harvineet                     0.020939  0.000000
health                        0.000000  0.207648
healthcare                    0.000000  0.025956
help                          0.020939  0.000000
henriksson                    0.000000  0.025956
hernandez                     0.000000  0.025956
heterogeneous                 0.000000  0.051912
histogram                     0.020939  0.000000
hog                           0.020939  0.000000
holderness                    0.000000  0.025956
homeabout                     0.020939  0.000000
hospital                      0.000000  0.025956
hours                         0.020939  0.000000
houssaini                     0.020939  0.000000
hsuan                         0.000000  0.025956
http                          0.000000  0.103824
https                         0.014898  0.018468
hu                            0.020939  0.000000
human                         0.041877  0.000000
hyper                         0.020939  0.000000
hélène                        0.083754  0.000000
icassp                        0.020939  0.000000
iccv                          0.020939  0.000000
icmr                          0.020939  0.000000
id                            0.000000  0.025956
idsia                         0.000000  0.025956
ieee                          0.104693  0.000000
image                         0.062816  0.000000
imaging                       0.020939  0.000000
impact                        0.020939  0.000000
implicit                      0.000000  0.025956
important                     0.041877  0.000000
improving                     0.014898  0.018468
include                       0.014898  0.018468
including                     0.000000  0.077868
increasing                    0.000000  0.025956
increasingly                  0.020939  0.000000
